SR_No,Date,DO_No,Customer_Name,Destination,Grade,Thick_mm,Width_mm,Length_mm,Planned_Qty,Despatched_Qty,Balance_to_Despatch_Qty,Weight_Tons,Priority_Level,Delivery_Deadline,Loading_Point_Code,Loading_Point_Name,Loading_Point_Lat,Loading_Point_Lng,Destination_Lat,Destination_Lng,Expected_Freight_Rate_INR,Customer_Payment_Terms_Days,Special_Requirements,Product_Value_INR,Preferred_Vehicle_Type
16,2025-12-30,DO-2026-01-100015,Tata Steel Ltd,"Jaipur, Rajasthan",TMT Fe550,4.9,1500,3000,20,0,20,3.5,Critical,2026-01-04 00:00,LP-RKL-04,Rourkela Steel Plant,22.2604,84.8536,26.9124,75.7873,47785,30,None,4826783,HCV
17,2025-12-31,DO-2026-01-100016,JSW Steel,"Lucknow, Uttar Pradesh",GP Coil,3.8,2000,2500,122,0,122,18.2,High,2026-01-14 00:00,LP-BHI-05,Bhilai Steel Plant,21.2514,81.1257,26.8467,80.9462,63148,45,None,4299538,HCV
18,2025-12-27,DO-2026-01-100017,SAIL Bokaro,"Lucknow, Uttar Pradesh",GP Coil,26.2,1250,3000,45,0,45,34.7,Medium,2026-01-14 00:00,LP-BHI-05,Bhilai Steel Plant,21.2514,81.1257,26.8467,80.9462,74590,60,None,5091740,HCV
19,2025-12-28,DO-2026-01-100018,Hindalco Industries,"Coimbatore, Tamil Nadu",Color Coated,5.1,1250,2000,75,0,75,7.5,Normal,2026-01-04 00:00,LP-BHI-05,Bhilai Steel Plant,21.2514,81.1257,11.0168,76.9558,70555,45,Tarpaulin Cover,810321,Covered
20,2026-01-01,DO-2026-01-100019,Vedanta Resources,"Coimbatore, Tamil Nadu",Color Coated,20.4,1000,2500,27,0,27,10.8,Low,2026-01-04 00:00,LP-BHI-05,Bhilai Steel Plant,21.2514,81.1257,11.0168,76.9558,53654,30,None,3086036,Covered
21,2025-12-24,DO-2026-01-100020,NMDC Ltd,"Surat, Gujarat",SS304,14.6,2000,2500,103,0,103,59.0,Critical,2026-01-13 00:00,LP-VSP-06,Visakhapatnam Steel,17.6869,83.2185,21.1702,72.8311,62976,45,Wooden Crating,4164666,Covered
22,2025-12-27,DO-2026-01-100021,Rashtriya Ispat Nigam,"Surat, Gujarat",SS304,4.5,1800,3000,42,0,42,8.0,High,2026-01-10 00:00,LP-VSP-06,Visakhapatnam Steel,17.6869,83.2185,21.1702,72.8311,62606,30,Tarpaulin Cover,1575588,Open
23,2025-12-30,DO-2026-01-100022,Essar Steel,"Indore, Madhya Pradesh",SS316L,12.5,1500,2000,25,0,25,7.4,Medium,2026-01-07 00:00,LP-VSP-06,Visakhapatnam Steel,17.6869,83.2185,22.7196,75.8577,44465,90,None,2289209,Open
24,2025-12-25,DO-2026-01-100023,Jindal Steel,"Indore, Madhya Pradesh",SS316L,14.0,1000,6000,53,0,53,34.9,Normal,2026-01-05 00:00,LP-VSP-06,Visakhapatnam Steel,17.6869,83.2185,22.7196,75.8577,35315,30,Insurance Mandatory,2732894,Open
25,2025-12-27,DO-2026-01-100024,Bhushan Steel,"Mumbai, Maharashtra",MS A36,12.6,1800,2500,39,0,39,17.4,Low,2026-01-04 00:00,LP-JAM-01,Tata Steel Jamshedpur,22.8046,86.2029,19.076,72.8777,42789,90,None,4025095,Trailer
26,2025-12-27,DO-2026-01-100025,AM/NS India,"Mumbai, Maharashtra",MS A36,26.1,1800,3000,51,0,51,56.4,Critical,2026-01-15 00:00,LP-JAM-01,Tata Steel Jamshedpur,22.8046,86.2029,19.076,72.8777,68422,90,None,3238965,Trailer
27,2026-01-02,DO-2026-01-100026,Lloyds Metals,Delhi NCR,CRS,27.2,2000,12000,45,0,45,230.6,High,2026-01-15 00:00,LP-JAM-01,Tata Steel Jamshedpur,22.8046,86.2029,28.7041,77.1025,52552,30,None,4749591,Trailer
28,2026-01-02,DO-2026-01-100027,APL Apollo,Delhi NCR,CRS,25.9,2000,2500,82,0,82,83.4,Medium,2026-01-12 00:00,LP-JAM-01,Tata Steel Jamshedpur,22.8046,86.2029,28.7041,77.1025,37250,45,None,1320097,Flatbed
29,2025-12-24,DO-2026-01-100028,Shyam Steel,"Pune, Maharashtra",HRS,24.4,1800,2000,104,0,104,71.7,Normal,2026-01-07 00:00,LP-KOL-02,Kolkata Steel Depot,22.5726,88.3639,18.5204,73.8567,69940,30,Tarpaulin Cover,4266713,Flatbed
30,2025-12-29,DO-2026-01-100029,SRMB Steel,"Pune, Maharashtra",HRS,17.2,2000,3000,102,0,102,82.6,Low,2026-01-07 00:00,LP-KOL-02,Kolkata Steel Depot,22.5726,88.3639,18.5204,73.8567,75891,60,None,4070092,Flatbed
31,2025-12-28,DO-2026-01-100030,Tata Steel Ltd,"Chennai, Tamil Nadu",Galvanized,19.5,1500,6000,34,0,34,46.8,Critical,2026-01-16 00:00,LP-KOL-02,Kolkata Steel Depot,22.5726,88.3639,13.0827,80.2707,36754,30,None,1588703,LCV
32,2025-12-31,DO-2026-01-100031,JSW Steel,"Chennai, Tamil Nadu",Galvanized,16.0,2000,3000,27,0,27,20.3,High,2026-01-09 00:00,LP-KOL-02,Kolkata Steel Depot,22.5726,88.3639,13.0827,80.2707,36508,45,None,2073276,LCV
33,2025-12-23,DO-2026-01-100032,SAIL Bokaro,"Bengaluru, Karnataka",TMT Fe500,23.7,1500,12000,74,0,74,247.8,Medium,2026-01-12 00:00,LP-DUR-03,Durgapur Steel,23.5204,87.3119,12.9716,77.5946,32512,60,Express Delivery,1618946,LCV
34,2025-12-25,DO-2026-01-100033,Hindalco Industries,"Bengaluru, Karnataka",TMT Fe500,5.5,1000,2000,130,0,130,11.2,Normal,2026-01-06 00:00,LP-DUR-03,Durgapur Steel,23.5204,87.3119,12.9716,77.5946,49848,60,Tarpaulin Cover,3626288,HCV
35,2025-12-26,DO-2026-01-100034,Vedanta Resources,"Hyderabad, Telangana",TMT Fe550,19.9,1500,12000,44,0,44,123.7,Low,2026-01-08 00:00,LP-DUR-03,Durgapur Steel,23.5204,87.3119,17.385,78.4867,35329,30,Tarpaulin Cover,3070961,HCV
36,2025-12-31,DO-2026-01-100035,NMDC Ltd,"Hyderabad, Telangana",TMT Fe550,2.1,1250,3000,23,0,23,1.4,Critical,2026-01-15 00:00,LP-DUR-03,Durgapur Steel,23.5204,87.3119,17.385,78.4867,60956,90,Tarpaulin Cover,1688466,HCV
37,2026-01-02,DO-2026-01-100036,Rashtriya Ispat Nigam,"Ahmedabad, Gujarat",GP Coil,26.6,1250,12000,27,0,27,84.6,High,2026-01-17 00:00,LP-RKL-04,Rourkela Steel Plant,22.2604,84.8536,23.0225,72.5714,56196,45,None,1100885,Covered
38,2025-12-30,DO-2026-01-100037,Essar Steel,"Ahmedabad, Gujarat",GP Coil,11.5,1000,3000,57,0,57,15.4,Medium,2026-01-14 00:00,LP-RKL-04,Rourkela Steel Plant,22.2604,84.8536,23.0225,72.5714,48353,30,None,4158940,Covered
39,2025-12-31,DO-2026-01-100038,Jindal Steel,"Jaipur, Rajasthan",Color Coated,21.5,1250,2500,97,0,97,51.2,Normal,2026-01-10 00:00,LP-RKL-04,Rourkela Steel Plant,22.2604,84.8536,26.9124,75.7873,33624,45,Wooden Crating,3536573,Covered
40,2025-12-31,DO-2026-01-100039,Bhushan Steel,"Jaipur, Rajasthan",Color Coated,26.2,1250,3000,118,0,118,91.0,Low,2026-01-16 00:00,LP-RKL-04,Rourkela Steel Plant,22.2604,84.8536,26.9124,75.7873,77958,30,None,1074845,Open
41,2025-12-28,DO-2026-01-100040,AM/NS India,"Lucknow, Uttar Pradesh",SS304,14.2,1250,6000,127,0,127,106.2,Critical,2026-01-08 00:00,LP-BHI-05,Bhilai Steel Plant,21.2514,81.1257,26.8467,80.9462,46915,45,None,2370090,Open
42,2025-12-28,DO-2026-01-100041,Lloyds Metals,"Lucknow, Uttar Pradesh",SS304,10.5,1000,3000,69,0,69,17.1,High,2026-01-14 00:00,LP-BHI-05,Bhilai Steel Plant,21.2514,81.1257,26.8467,80.9462,65384,90,Tarpaulin Cover,3527886,Open
43,2025-12-24,DO-2026-01-100042,APL Apollo,"Coimbatore, Tamil Nadu",SS316L,5.0,1500,2500,21,0,21,3.1,Medium,2026-01-08 00:00,LP-BHI-05,Bhilai Steel Plant,21.2514,81.1257,11.0168,76.9558,34507,30,Tarpaulin Cover,3649833,Trailer
44,2025-12-25,DO-2026-01-100043,Shyam Steel,"Coimbatore, Tamil Nadu",SS316L,22.4,1800,12000,111,0,111,421.6,Normal,2026-01-05 00:00,LP-BHI-05,Bhilai Steel Plant,21.2514,81.1257,11.0168,76.9558,57244,45,None,4407915,Trailer
45,2025-12-28,DO-2026-01-100044,SRMB Steel,"Surat, Gujarat",MS A36,15.5,2000,2500,18,0,18,11.0,Low,2026-01-10 00:00,LP-VSP-06,Visakhapatnam Steel,17.6869,83.2185,21.1702,72.8311,36585,60,Tarpaulin Cover,1795432,Trailer
46,2025-12-23,DO-2026-01-100045,Tata Steel Ltd,"Surat, Gujarat",MS A36,25.4,2000,3000,110,0,110,131.6,Critical,2026-01-10 00:00,LP-VSP-06,Visakhapatnam Steel,17.6869,83.2185,21.1702,72.8311,53376,90,Tarpaulin Cover,1817767,Flatbed
47,2025-12-24,DO-2026-01-100046,JSW Steel,"Indore, Madhya Pradesh",CRS,12.9,1800,2500,42,0,42,19.1,High,2026-01-13 00:00,LP-VSP-06,Visakhapatnam Steel,17.6869,83.2185,22.7196,75.8577,51723,90,None,753405,Flatbed
48,2025-12-24,DO-2026-01-100047,SAIL Bokaro,"Indore, Madhya Pradesh",CRS,9.5,1800,12000,56,0,56,90.2,Medium,2026-01-14 00:00,LP-VSP-06,Visakhapatnam Steel,17.6869,83.2185,22.7196,75.8577,53118,90,None,2542657,Flatbed
49,2025-12-29,DO-2026-01-100048,Hindalco Industries,"Mumbai, Maharashtra",HRS,14.3,1250,2000,83,0,83,23.3,Normal,2026-01-12 00:00,LP-JAM-01,Tata Steel Jamshedpur,22.8046,86.2029,19.076,72.8777,75506,60,None,2720220,LCV
50,2026-01-02,DO-2026-01-100049,Vedanta Resources,"Mumbai, Maharashtra",HRS,10.1,1250,2500,104,0,104,25.8,Low,2026-01-04 00:00,LP-JAM-01,Tata Steel Jamshedpur,22.8046,86.2029,19.076,72.8777,48046,90,Tarpaulin Cover,1360927,LCV
51,2025-12-27,DO-2026-01-100050,NMDC Ltd,Delhi NCR,Galvanized,12.8,2000,2500,76,0,76,38.2,Critical,2026-01-11 00:00,LP-JAM-01,Tata Steel Jamshedpur,22.8046,86.2029,28.7041,77.1025,58191,45,None,796513,LCV
52,2025-12-30,DO-2026-01-100051,Rashtriya Ispat Nigam,Delhi NCR,Galvanized,21.5,1000,6000,132,0,132,133.7,High,2026-01-06 00:00,LP-JAM-01,Tata Steel Jamshedpur,22.8046,86.2029,28.7041,77.1025,77607,90,None,2840426,HCV
53,2025-12-26,DO-2026-01-100052,Essar Steel,"Pune, Maharashtra",TMT Fe500,24.1,1800,2500,135,0,135,114.9,Medium,2026-01-14 00:00,LP-KOL-02,Kolkata Steel Depot,22.5726,88.3639,18.5204,73.8567,66808,60,Insurance Mandatory,4462574,HCV
54,2025-12-25,DO-2026-01-100053,Jindal Steel,"Pune, Maharashtra",TMT Fe500,23.2,2000,6000,96,0,96,209.8,Normal,2026-01-11 00:00,LP-KOL-02,Kolkata Steel Depot,22.5726,88.3639,18.5204,73.8567,42430,90,None,2823997,HCV
55,2025-12-23,DO-2026-01-100054,Bhushan Steel,"Chennai, Tamil Nadu",TMT Fe550,18.6,2000,6000,125,0,125,219.0,Low,2026-01-07 00:00,LP-KOL-02,Kolkata Steel Depot,22.5726,88.3639,13.0827,80.2707,49996,90,None,3146861,Covered
56,2026-01-01,DO-2026-01-100055,AM/NS India,"Chennai, Tamil Nadu",TMT Fe550,9.1,1500,12000,48,0,48,61.7,Critical,2026-01-06 00:00,LP-KOL-02,Kolkata Steel Depot,22.5726,88.3639,13.0827,80.2707,41884,45,None,2031823,Covered
57,2025-12-28,DO-2026-01-100056,Lloyds Metals,"Bengaluru, Karnataka",GP Coil,7.6,1800,6000,108,0,108,69.6,High,2026-01-12 00:00,LP-DUR-03,Durgapur Steel,23.5204,87.3119,12.9716,77.5946,62534,90,None,4274419,Covered
58,2025-12-24,DO-2026-01-100057,APL Apollo,"Bengaluru, Karnataka",GP Coil,25.5,2000,2000,67,0,67,53.6,Medium,2026-01-10 00:00,LP-DUR-03,Durgapur Steel,23.5204,87.3119,12.9716,77.5946,63259,30,Express Delivery,3254944,Open
59,2025-12-25,DO-2026-01-100058,Shyam Steel,"Hyderabad, Telangana",Color Coated,12.1,1800,12000,114,0,114,233.9,Normal,2026-01-16 00:00,LP-DUR-03,Durgapur Steel,23.5204,87.3119,17.385,78.4867,71534,45,None,3039547,Open
60,2025-12-23,DO-2026-01-100059,SRMB Steel,"Hyderabad, Telangana",Color Coated,14.6,1800,3000,73,0,73,45.2,Low,2026-01-14 00:00,LP-DUR-03,Durgapur Steel,23.5204,87.3119,17.385,78.4867,58497,45,Wooden Crating,1820619,Open
61,2025-12-24,DO-2026-01-100060,Tata Steel Ltd,"Ahmedabad, Gujarat",SS304,15.9,1800,12000,97,0,97,261.5,Critical,2026-01-14 00:00,LP-RKL-04,Rourkela Steel Plant,22.2604,84.8536,23.0225,72.5714,33776,30,Tarpaulin Cover,1888329,Trailer
62,2025-12-27,DO-2026-01-100061,JSW Steel,"Ahmedabad, Gujarat",SS304,14.0,1000,3000,128,0,128,42.2,High,2026-01-09 00:00,LP-RKL-04,Rourkela Steel Plant,22.2604,84.8536,23.0225,72.5714,45871,90,None,3930341,Trailer
63,2026-01-01,DO-2026-01-100062,SAIL Bokaro,"Jaipur, Rajasthan",SS316L,21.6,1800,3000,53,0,53,48.5,Medium,2026-01-11 00:00,LP-RKL-04,Rourkela Steel Plant,22.2604,84.8536,26.9124,75.7873,33270,30,Insurance Mandatory,3685680,Trailer
64,2025-12-30,DO-2026-01-100063,Hindalco Industries,"Jaipur, Rajasthan",SS316L,18.9,1000,2000,46,0,46,13.6,Normal,2026-01-07 00:00,LP-RKL-04,Rourkela Steel Plant,22.2604,84.8536,26.9124,75.7873,33335,45,None,4722518,Flatbed
65,2025-12-29,DO-2026-01-100064,Vedanta Resources,"Lucknow, Uttar Pradesh",MS A36,5.0,1250,6000,103,0,103,30.3,Low,2026-01-16 00:00,LP-BHI-05,Bhilai Steel Plant,21.2514,81.1257,26.8467,80.9462,56175,45,Tarpaulin Cover,1710771,Flatbed
66,2025-12-24,DO-2026-01-100065,NMDC Ltd,"Lucknow, Uttar Pradesh",MS A36,23.3,1500,2000,117,0,117,64.2,Critical,2026-01-04 00:00,LP-BHI-05,Bhilai Steel Plant,21.2514,81.1257,26.8467,80.9462,52444,90,None,2413710,Flatbed
67,2025-12-29,DO-2026-01-100066,Rashtriya Ispat Nigam,"Coimbatore, Tamil Nadu",CRS,17.4,1250,2000,27,0,27,9.2,High,2026-01-17 00:00,LP-BHI-05,Bhilai Steel Plant,21.2514,81.1257,11.0168,76.9558,76843,30,Wooden Crating,1094512,LCV
68,2025-12-25,DO-2026-01-100067,Essar Steel,"Coimbatore, Tamil Nadu",CRS,15.9,1500,2000,62,0,62,23.2,Medium,2026-01-14 00:00,LP-BHI-05,Bhilai Steel Plant,21.2514,81.1257,11.0168,76.9558,54362,30,Wooden Crating,4862109,LCV
69,2025-12-31,DO-2026-01-100068,Jindal Steel,"Surat, Gujarat",HRS,13.3,1500,6000,31,0,31,29.1,Normal,2026-01-10 00:00,LP-VSP-06,Visakhapatnam Steel,17.6869,83.2185,21.1702,72.8311,43543,60,Tarpaulin Cover,4805871,LCV
70,2025-12-28,DO-2026-01-100069,Bhushan Steel,"Surat, Gujarat",HRS,13.3,2000,3000,77,0,77,48.2,Low,2026-01-17 00:00,LP-VSP-06,Visakhapatnam Steel,17.6869,83.2185,21.1702,72.8311,48088,30,None,4531601,HCV
71,2025-12-23,DO-2026-01-100070,AM/NS India,"Indore, Madhya Pradesh",Galvanized,21.5,2000,12000,49,0,49,198.5,Critical,2026-01-10 00:00,LP-VSP-06,Visakhapatnam Steel,17.6869,83.2185,22.7196,75.8577,54046,30,None,3476416,HCV
72,2025-12-28,DO-2026-01-100071,Lloyds Metals,"Indore, Madhya Pradesh",Galvanized,14.7,1500,3000,41,0,41,21.3,High,2026-01-08 00:00,LP-VSP-06,Visakhapatnam Steel,17.6869,83.2185,22.7196,75.8577,71069,60,Tarpaulin Cover,5083783,HCV
73,2025-12-25,DO-2026-01-100072,APL Apollo,"Mumbai, Maharashtra",TMT Fe500,4.2,1800,6000,42,0,42,15.0,Medium,2026-01-16 00:00,LP-JAM-01,Tata Steel Jamshedpur,22.8046,86.2029,19.076,72.8777,47749,90,Tarpaulin Cover,4867307,Covered
74,2025-12-30,DO-2026-01-100073,Shyam Steel,"Mumbai, Maharashtra",TMT Fe500,22.6,1000,3000,75,0,75,39.9,Normal,2026-01-10 00:00,LP-JAM-01,Tata Steel Jamshedpur,22.8046,86.2029,19.076,72.8777,77336,45,None,3845567,Covered
75,2025-12-25,DO-2026-01-100074,SRMB Steel,Delhi NCR,TMT Fe550,16.4,1500,6000,78,0,78,90.4,Low,2026-01-09 00:00,LP-JAM-01,Tata Steel Jamshedpur,22.8046,86.2029,28.7041,77.1025,55056,90,None,2858926,Covered
76,2026-01-01,DO-2026-01-100075,Tata Steel Ltd,Delhi NCR,TMT Fe550,5.1,1250,3000,47,0,47,7.1,Critical,2026-01-15 00:00,LP-JAM-01,Tata Steel Jamshedpur,22.8046,86.2029,28.7041,77.1025,67118,45,None,4811752,Open
77,2025-12-29,DO-2026-01-100076,JSW Steel,"Pune, Maharashtra",GP Coil,20.8,2000,12000,53,0,53,207.7,High,2026-01-05 00:00,LP-KOL-02,Kolkata Steel Depot,22.5726,88.3639,18.5204,73.8567,44721,60,None,2255264,Open
78,2025-12-29,DO-2026-01-100077,SAIL Bokaro,"Pune, Maharashtra",GP Coil,2.4,2000,2500,56,0,56,5.3,Medium,2026-01-04 00:00,LP-KOL-02,Kolkata Steel Depot,22.5726,88.3639,18.5204,73.8567,35573,60,Tarpaulin Cover,1809309,Open
79,2026-01-02,DO-2026-01-100078,Hindalco Industries,"Chennai, Tamil Nadu",Color Coated,24.6,1800,2000,99,0,99,68.8,Normal,2026-01-13 00:00,LP-KOL-02,Kolkata Steel Depot,22.5726,88.3639,13.0827,80.2707,50634,90,None,3608048,Trailer
80,2026-01-01,DO-2026-01-100079,Vedanta Resources,"Chennai, Tamil Nadu",Color Coated,27.1,1500,6000,41,0,41,78.5,Low,2026-01-17 00:00,LP-KOL-02,Kolkata Steel Depot,22.5726,88.3639,13.0827,80.2707,36282,90,None,1199705,Trailer
81,2026-01-01,DO-2026-01-100080,NMDC Ltd,"Bengaluru, Karnataka",SS304,5.9,2000,3000,37,0,37,10.3,Critical,2026-01-07 00:00,LP-DUR-03,Durgapur Steel,23.5204,87.3119,12.9716,77.5946,39762,90,Tarpaulin Cover,2643200,Trailer
82,2025-12-29,DO-2026-01-100081,Rashtriya Ispat Nigam,"Bengaluru, Karnataka",SS304,15.6,1800,6000,117,0,117,154.7,High,2026-01-17 00:00,LP-DUR-03,Durgapur Steel,23.5204,87.3119,12.9716,77.5946,70569,90,None,1255248,Flatbed
83,2025-12-23,DO-2026-01-100082,Essar Steel,"Hyderabad, Telangana",SS316L,27.0,1000,2500,96,0,96,50.9,Medium,2026-01-07 00:00,LP-DUR-03,Durgapur Steel,23.5204,87.3119,17.385,78.4867,49343,30,None,2208053,Flatbed
84,2025-12-26,DO-2026-01-100083,Jindal Steel,"Hyderabad, Telangana",SS316L,4.0,1000,6000,88,0,88,16.6,Normal,2026-01-15 00:00,LP-DUR-03,Durgapur Steel,23.5204,87.3119,17.385,78.4867,70916,90,None,2691763,Flatbed
85,2025-12-23,DO-2026-01-100084,Bhushan Steel,"Ahmedabad, Gujarat",MS A36,20.4,1800,2000,54,0,54,31.1,Low,2026-01-07 00:00,LP-RKL-04,Rourkela Steel Plant,22.2604,84.8536,23.0225,72.5714,49337,45,None,2635838,LCV
86,2026-01-01,DO-2026-01-100085,AM/NS India,"Ahmedabad, Gujarat",MS A36,5.9,1500,2500,100,0,100,17.4,Critical,2026-01-04 00:00,LP-RKL-04,Rourkela Steel Plant,22.2604,84.8536,23.0225,72.5714,42873,60,Tarpaulin Cover,3171041,LCV
87,2025-12-29,DO-2026-01-100086,Lloyds Metals,"Jaipur, Rajasthan",CRS,5.2,1500,6000,74,0,74,27.2,High,2026-01-12 00:00,LP-RKL-04,Rourkela Steel Plant,22.2604,84.8536,26.9124,75.7873,67388,90,None,1084376,LCV
88,2025-12-29,DO-2026-01-100087,APL Apollo,"Jaipur, Rajasthan",CRS,13.2,1500,12000,131,0,131,244.3,Medium,2026-01-04 00:00,LP-RKL-04,Rourkela Steel Plant,22.2604,84.8536,26.9124,75.7873,37985,45,Insurance Mandatory,924025,HCV
89,2026-01-02,DO-2026-01-100088,Shyam Steel,"Lucknow, Uttar Pradesh",HRS,19.5,1500,12000,115,0,115,316.9,Normal,2026-01-16 00:00,LP-BHI-05,Bhilai Steel Plant,21.2514,81.1257,26.8467,80.9462,43481,90,None,4459689,HCV
90,2025-12-23,DO-2026-01-100089,SRMB Steel,"Lucknow, Uttar Pradesh",HRS,9.2,2000,6000,135,0,135,117.0,Low,2026-01-17 00:00,LP-BHI-05,Bhilai Steel Plant,21.2514,81.1257,26.8467,80.9462,64225,30,None,4175472,HCV
91,2025-12-28,DO-2026-01-100090,Tata Steel Ltd,"Coimbatore, Tamil Nadu",Galvanized,10.3,1000,2500,60,0,60,12.1,Critical,2026-01-10 00:00,LP-BHI-05,Bhilai Steel Plant,21.2514,81.1257,11.0168,76.9558,77460,90,None,4109236,Covered
92,2026-01-01,DO-2026-01-100091,JSW Steel,"Coimbatore, Tamil Nadu",Galvanized,21.8,1000,6000,122,0,122,125.3,High,2026-01-09 00:00,LP-BHI-05,Bhilai Steel Plant,21.2514,81.1257,11.0168,76.9558,48541,60,None,4140466,Covered
93,2025-12-26,DO-2026-01-100092,SAIL Bokaro,"Surat, Gujarat",TMT Fe500,15.4,1000,12000,128,0,128,185.7,Medium,2026-01-10 00:00,LP-VSP-06,Visakhapatnam Steel,17.6869,83.2185,21.1702,72.8311,35552,45,None,4931663,Covered
94,2025-12-29,DO-2026-01-100093,Hindalco Industries,"Surat, Gujarat",TMT Fe500,13.5,1000,2500,98,0,98,26.0,Normal,2026-01-12 00:00,LP-VSP-06,Visakhapatnam Steel,17.6869,83.2185,21.1702,72.8311,40586,60,None,4816057,Open
95,2025-12-31,DO-2026-01-100094,Vedanta Resources,"Indore, Madhya Pradesh",TMT Fe550,2.8,2000,2500,33,0,33,3.6,Low,2026-01-08 00:00,LP-VSP-06,Visakhapatnam Steel,17.6869,83.2185,22.7196,75.8577,68099,30,Tarpaulin Cover,1531895,Open
