LREntryNo,LREntryDate,VehicleNo,Capacity,Vehicle_Type,Vehicle_Ownership_Type,CustomerName,From_Station,To_Station,NetWt_Tons,Freight_Revenue_INR,Fuel_Cost_INR,Driver_Allowance_INR,Toll_Charges_INR,Total_Trip_Cost_INR,Profit_Margin_INR,Profit_Margin_Percent,Actual_Distance_Km,Trip_Duration_Hours,Delay_Hours
LR-2025-080080,2025-08-25,UP-91-BA-6245,28,Trailer,Market,NMDC Ltd,Durgapur Steel,Lucknow,10.2,69722,42922,3055,5111,58635,11087,15.9,1860,60.2,8
LR-2025-080081,2025-12-18,TN-44-BB-3885,16,Flatbed,Owned,Rashtriya Ispat Nigam,Rourkela Steel Plant,Coimbatore,12.5,47986,35950,4459,2134,37819,10167,21.19,1601,64.9,0
LR-2025-080082,2025-10-18,UP-16-AB-8021,21,LCV,Attached,Essar Steel,Bhilai Steel Plant,Surat,29.7,61506,37457,3473,2613,63529,-2023,-3.29,1810,68.7,0
LR-2025-080083,2025-11-12,TN-55-CA-1162,28,HCV,Market,Jindal Steel,Visakhapatnam Steel,Indore,25.9,69094,31012,3118,4760,77260,-8166,-11.82,2749,50.5,0
LR-2025-080084,2025-10-03,WB-29-CB-3416,25,Covered,Owned,Bhushan Steel,Tata Steel Jamshedpur,Mumbai,27.7,87969,25445,6044,4560,109809,-21840,-24.83,2044,30.7,2
LR-2025-080085,2025-11-21,KA-91-AB-1597,19,Open,Attached,AM/NS India,Kolkata Steel Depot,Delhi NCR,25.2,63527,30298,4521,4652,79442,-15915,-25.05,2616,59.4,1
LR-2025-080086,2025-11-05,WB-57-BC-1265,21,Trailer,Market,Lloyds Metals,Durgapur Steel,Pune,28.3,48164,50904,6154,2310,45323,2841,5.9,2424,52.3,0
LR-2025-080087,2025-08-07,TN-76-BC-2857,19,Flatbed,Owned,APL Apollo,Rourkela Steel Plant,Chennai,19.1,60895,42452,3524,4064,57418,3477,5.71,2816,25.1,0
LR-2025-080088,2025-09-03,GJ-99-AB-2435,16,LCV,Attached,Shyam Steel,Bhilai Steel Plant,Bengaluru,11.4,52679,19076,5324,3484,63186,-10507,-19.95,804,43.8,2
LR-2025-080089,2025-09-01,WB-95-BB-7891,19,HCV,Market,SRMB Steel,Visakhapatnam Steel,Hyderabad,14.2,69699,47794,5059,3360,56585,13114,18.82,848,27.0,0
LR-2025-080090,2025-08-27,TN-92-CA-1124,21,Covered,Owned,Tata Steel Ltd,Tata Steel Jamshedpur,Ahmedabad,25.9,42155,51263,3961,2896,39723,2432,5.77,1463,33.2,4
LR-2025-080091,2025-12-22,TN-14-AA-1430,19,Open,Attached,JSW Steel,Kolkata Steel Depot,Jaipur,26.1,61178,38805,4172,2498,67915,-6737,-11.01,2723,71.6,0
LR-2025-080092,2025-07-12,TN-16-CA-3111,32,Trailer,Market,SAIL Bokaro,Durgapur Steel,Lucknow,17.7,59648,29384,4451,3103,51308,8340,13.98,2498,24.9,0
LR-2025-080093,2025-08-16,HR-90-CA-5263,28,Flatbed,Owned,Hindalco Industries,Rourkela Steel Plant,Coimbatore,12.8,80532,39129,3634,2181,94755,-14223,-17.66,762,17.4,0
LR-2025-080094,2025-12-16,HR-83-CA-1414,32,LCV,Attached,Vedanta Resources,Bhilai Steel Plant,Surat,24.9,84464,47734,5398,4386,90251,-5787,-6.85,1846,26.4,1
LR-2025-080095,2025-08-08,MH-58-BB-1847,21,HCV,Market,NMDC Ltd,Visakhapatnam Steel,Indore,11.2,48532,27422,5369,1894,44378,4154,8.56,2753,64.5,0
LR-2025-080096,2025-11-17,GJ-43-AC-2520,16,Covered,Owned,Rashtriya Ispat Nigam,Tata Steel Jamshedpur,Mumbai,19.9,73052,41684,3651,3400,60180,12872,17.62,792,43.5,0
LR-2025-080097,2025-07-16,HR-36-CA-7148,21,Open,Attached,Essar Steel,Kolkata Steel Depot,Delhi NCR,22.8,38821,47548,6111,2459,39325,-504,-1.3,1116,32.7,4
LR-2025-080098,2025-07-21,WB-25-BC-6681,25,Trailer,Market,Jindal Steel,Durgapur Steel,Pune,30.4,77231,18328,3448,3937,81478,-4247,-5.5,1422,67.9,0
LR-2025-080099,2025-08-13,UP-37-BC-2880,19,Flatbed,Owned,Bhushan Steel,Rourkela Steel Plant,Chennai,10.1,35936,27080,3700,2141,37327,-1391,-3.87,898,31.0,0
LR-2025-080100,2025-08-04,GJ-69-CB-8144,28,LCV,Attached,AM/NS India,Bhilai Steel Plant,Bengaluru,29.4,40027,30652,3824,2508,37675,2352,5.88,1190,54.5,4
LR-2025-080101,2025-11-27,GJ-31-BA-8992,25,HCV,Market,Lloyds Metals,Visakhapatnam Steel,Hyderabad,28.0,52421,45770,5242,4860,66060,-13639,-26.02,1492,61.7,1
LR-2025-080102,2025-11-02,RJ-57-AB-8363,19,Covered,Owned,APL Apollo,Tata Steel Jamshedpur,Ahmedabad,28.2,73799,51512,3836,4203,70787,3012,4.08,2058,32.4,3
LR-2025-080103,2025-08-10,RJ-60-AA-2878,19,Open,Attached,Shyam Steel,Kolkata Steel Depot,Jaipur,26.5,76277,46140,6039,2561,95666,-19389,-25.42,1845,29.7,0
LR-2025-080104,2025-10-04,HR-11-BC-1178,32,Trailer,Market,SRMB Steel,Durgapur Steel,Lucknow,16.4,58357,48498,5124,5057,55639,2718,4.66,1697,66.3,0
LR-2025-080105,2025-10-30,MH-23-BB-2225,28,Flatbed,Owned,Tata Steel Ltd,Rourkela Steel Plant,Coimbatore,28.2,59270,45639,5594,4897,53786,5484,9.25,2162,33.8,0
LR-2025-080106,2025-08-19,KA-15-BB-7901,16,LCV,Attached,JSW Steel,Bhilai Steel Plant,Surat,12.1,46918,29215,5263,3138,36869,10049,21.42,2801,37.4,0
LR-2025-080107,2025-07-29,WB-69-BB-3147,25,HCV,Market,SAIL Bokaro,Visakhapatnam Steel,Indore,10.3,52680,20563,4181,4441,40525,12155,23.07,446,19.9,0
LR-2025-080108,2025-10-07,GJ-50-BC-7559,16,Covered,Owned,Hindalco Industries,Tata Steel Jamshedpur,Mumbai,21.2,86593,38524,4822,4308,84501,2092,2.42,572,38.0,1
LR-2025-080109,2025-07-12,HR-57-AB-1479,19,Open,Attached,Vedanta Resources,Kolkata Steel Depot,Delhi NCR,10.5,63791,18681,3368,2230,64846,-1055,-1.65,1702,64.2,2
LR-2025-080110,2025-11-05,RJ-78-AA-1860,21,Trailer,Market,NMDC Ltd,Durgapur Steel,Pune,28.0,48833,20823,3253,1996,41435,7398,15.15,1626,20.2,0
LR-2025-080111,2025-09-17,GJ-99-AC-3257,28,Flatbed,Owned,Rashtriya Ispat Nigam,Rourkela Steel Plant,Chennai,19.2,74157,26276,4107,2406,86886,-12729,-17.16,2772,65.7,6
LR-2025-080112,2025-11-22,MH-83-CB-9029,21,LCV,Attached,Essar Steel,Bhilai Steel Plant,Bengaluru,16.3,61085,49634,3725,2176,66655,-5570,-9.12,1460,58.9,1
LR-2025-080113,2025-10-22,MH-98-AB-2231,25,HCV,Market,Jindal Steel,Visakhapatnam Steel,Hyderabad,10.8,57134,18860,5546,2685,60015,-2881,-5.04,2297,61.8,0
LR-2025-080114,2025-07-25,RJ-49-CB-3523,28,Covered,Owned,Bhushan Steel,Tata Steel Jamshedpur,Ahmedabad,11.7,40850,26523,3696,3289,38278,2572,6.3,1959,70.6,3
LR-2025-080115,2025-09-12,MH-18-BB-7931,19,Open,Attached,AM/NS India,Kolkata Steel Depot,Jaipur,23.9,67650,24688,3403,3688,58556,9094,13.44,818,57.7,0
LR-2025-080116,2025-12-16,KA-94-CB-6766,21,Trailer,Market,Lloyds Metals,Durgapur Steel,Lucknow,12.0,64202,23509,4251,3567,55038,9164,14.27,1248,24.4,0
LR-2025-080117,2025-09-02,GJ-57-AB-1805,32,Flatbed,Owned,APL Apollo,Rourkela Steel Plant,Coimbatore,17.5,67287,45694,3594,3004,62815,4472,6.65,1155,38.6,1
LR-2025-080118,2025-08-13,TN-23-AA-5078,16,LCV,Attached,Shyam Steel,Bhilai Steel Plant,Surat,14.1,68705,21482,2946,4156,73918,-5213,-7.59,1470,29.4,0
LR-2025-080119,2025-07-18,TN-60-CA-2659,19,HCV,Market,SRMB Steel,Visakhapatnam Steel,Indore,24.9,52052,35581,4828,2642,45689,6363,12.22,1080,60.0,0
LR-2025-080120,2025-10-11,WB-22-AC-9245,32,Covered,Owned,Tata Steel Ltd,Tata Steel Jamshedpur,Mumbai,22.6,52873,38009,5617,2777,59590,-6717,-12.7,1077,33.6,0
LR-2025-080121,2025-08-29,UP-11-CB-8011,21,Open,Attached,JSW Steel,Kolkata Steel Depot,Delhi NCR,9.9,46277,35290,3115,2499,43164,3113,6.73,419,49.3,6
LR-2025-080122,2025-10-21,KA-24-AA-1284,28,Trailer,Market,SAIL Bokaro,Durgapur Steel,Pune,23.8,72217,37048,3735,3951,54923,17294,23.95,2440,25.4,0
LR-2025-080123,2025-09-29,KA-72-BC-9940,21,Flatbed,Owned,Hindalco Industries,Rourkela Steel Plant,Chennai,23.4,40154,34615,4292,3679,32605,7549,18.8,435,62.4,0
LR-2025-080124,2025-07-07,KA-24-BB-9508,32,LCV,Attached,Vedanta Resources,Bhilai Steel Plant,Bengaluru,22.9,55871,27692,4480,2702,68359,-12488,-22.35,960,36.0,0
LR-2025-080125,2025-09-04,RJ-36-AB-4175,25,HCV,Market,NMDC Ltd,Visakhapatnam Steel,Hyderabad,22.9,71852,35951,5367,4580,82294,-10442,-14.53,2611,66.4,0
LR-2025-080126,2025-10-17,RJ-52-CA-7836,21,Covered,Owned,Rashtriya Ispat Nigam,Tata Steel Jamshedpur,Ahmedabad,16.0,91415,20693,5173,3930,94522,-3107,-3.4,1786,62.7,0
LR-2025-080127,2025-09-26,GJ-24-AA-9174,32,Open,Attached,Essar Steel,Kolkata Steel Depot,Jaipur,12.6,86122,27845,4942,2986,85830,292,0.34,2666,53.2,0
LR-2025-080128,2025-10-09,WB-68-AA-4560,21,Trailer,Market,Jindal Steel,Durgapur Steel,Lucknow,26.8,52891,26089,3017,3800,41974,10917,20.64,1632,16.3,0
LR-2025-080129,2025-10-20,UP-54-BB-9224,32,Flatbed,Owned,Bhushan Steel,Rourkela Steel Plant,Coimbatore,29.6,88664,28160,3152,4721,67414,21250,23.97,1488,24.0,2
LR-2025-080130,2025-12-03,GJ-38-AA-8752,21,LCV,Attached,AM/NS India,Bhilai Steel Plant,Surat,14.7,62314,43312,4530,3434,66322,-4008,-6.43,781,66.0,4
LR-2025-080131,2025-08-01,TN-96-BC-3280,32,HCV,Market,Lloyds Metals,Visakhapatnam Steel,Indore,25.6,73127,34385,3355,3505,67393,5734,7.84,2650,27.2,0
LR-2025-080132,2025-07-16,KA-79-AC-7159,25,Covered,Owned,APL Apollo,Tata Steel Jamshedpur,Mumbai,11.5,53486,46960,5643,3083,56410,-2924,-5.47,2443,68.4,1
LR-2025-080133,2025-08-26,TN-62-CB-1453,28,Open,Attached,Shyam Steel,Kolkata Steel Depot,Delhi NCR,10.1,64695,45585,3162,4895,61084,3611,5.58,955,50.5,0
LR-2025-080134,2025-09-19,UP-89-BB-1877,25,Trailer,Market,SRMB Steel,Durgapur Steel,Pune,12.1,49902,18390,4695,5107,52984,-3082,-6.18,2501,41.8,0
LR-2025-080135,2025-07-10,HR-52-AB-5760,28,Flatbed,Owned,Tata Steel Ltd,Rourkela Steel Plant,Chennai,19.6,37584,39712,3049,2297,33844,3740,9.95,2774,53.8,2
