DO_Number,Customer_Name,Destination,Weight_Tons,Recommended_Vehicle,Vehicle_ID,Vehicle_Type,Predicted_Profit_INR,Confidence_Score,Expected_Revenue,Estimated_Cost,Route,Distance_Km,ETA,Capacity_Utilization_%,Reasoning
DO-2026-01-100041,Lloyds Metals,"Lucknow, Uttar Pradesh",17.1,WB-23-BB-5138,VEH-1008,Attached,1324.48,Medium,65384,64059.52,"LP-BHI-05 -> Lucknow, Uttar Pradesh",1500,2026-01-04 00:03,53.4,Attached vehicle - Good profit margin (avg 20%) | ⚠️ Under-utilized (53.4%) - consider smaller vehicle | Vehicle nearby loading point (0 km) | Fuel efficient vehicle (6.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100365,NMDC Ltd,"Pune, Maharashtra",19.4,WB-23-BB-5138,VEH-1008,Attached,2300.33,Medium,32117,29816.67,"LP-KOL-02 -> Pune, Maharashtra",1500,2026-01-04 15:16,60.6,Attached vehicle - Good profit margin (avg 20%) | ⚠️ Under-utilized (60.6%) - consider smaller vehicle | ⚠️ Vehicle far from loading point (761 km) | Fuel efficient vehicle (6.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100381,Rashtriya Ispat Nigam,"Surat, Gujarat",26.2,WB-23-BB-5138,VEH-1008,Attached,4330.5,Medium,34796,30465.5,"LP-VSP-06 -> Surat, Gujarat",1500,2026-01-04 09:07,81.9,Attached vehicle - Good profit margin (avg 20%) | ⚠️ Vehicle far from loading point (453 km) | Fuel efficient vehicle (6.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100491,Lloyds Metals,"Hyderabad, Telangana",20.0,WB-23-BB-5138,VEH-1008,Attached,2870.97,Medium,46376,43505.03,"LP-DUR-03 -> Hyderabad, Telangana",1500,2026-01-04 13:44,62.5,Attached vehicle - Good profit margin (avg 20%) | ⚠️ Under-utilized (62.5%) - consider smaller vehicle | ⚠️ Vehicle far from loading point (684 km) | Fuel efficient vehicle (6.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100545,NMDC Ltd,"Lucknow, Uttar Pradesh",30.4,WB-23-BB-5138,VEH-1008,Attached,922.07,High,34079,33156.93,"LP-BHI-05 -> Lucknow, Uttar Pradesh",1500,2026-01-04 00:03,95.0,Attached vehicle - Good profit margin (avg 20%) | Optimal capacity utilization (95.0%) | Vehicle nearby loading point (0 km) | Fuel efficient vehicle (6.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100581,Lloyds Metals,"Pune, Maharashtra",26.5,WB-23-BB-5138,VEH-1008,Attached,3395.12,Medium,53019,49623.88,"LP-KOL-02 -> Pune, Maharashtra",1500,2026-01-04 15:16,82.8,Attached vehicle - Good profit margin (avg 20%) | ⚠️ Vehicle far from loading point (761 km) | Fuel efficient vehicle (6.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100705,Tata Steel Ltd,"Bengaluru, Karnataka",28.9,WB-23-BB-5138,VEH-1008,Attached,1568.56,High,42275,40706.44,"LP-DUR-03 -> Bengaluru, Karnataka",1500,2026-01-04 13:44,90.3,Attached vehicle - Good profit margin (avg 20%) | Optimal capacity utilization (90.3%) | ⚠️ Vehicle far from loading point (684 km) | Fuel efficient vehicle (6.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100725,NMDC Ltd,"Pune, Maharashtra",25.1,WB-23-BB-5138,VEH-1008,Attached,3324.39,Medium,56226,52901.61,"LP-KOL-02 -> Pune, Maharashtra",1500,2026-01-04 15:16,78.4,Attached vehicle - Good profit margin (avg 20%) | ⚠️ Vehicle far from loading point (761 km) | Fuel efficient vehicle (6.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100761,Lloyds Metals,"Lucknow, Uttar Pradesh",27.2,WB-23-BB-5138,VEH-1008,Attached,1826.37,High,45047,43220.63,"LP-BHI-05 -> Lucknow, Uttar Pradesh",1500,2026-01-04 00:03,85.0,Attached vehicle - Good profit margin (avg 20%) | Optimal capacity utilization (85.0%) | Vehicle nearby loading point (0 km) | Fuel efficient vehicle (6.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100795,Tata Steel Ltd,Delhi NCR,22.8,WB-23-BB-5138,VEH-1008,Attached,3438.42,Medium,42500,39061.58,LP-JAM-01 -> Delhi NCR,1500,2026-01-04 11:04,71.2,Attached vehicle - Good profit margin (avg 20%) | ⚠️ Vehicle far from loading point (551 km) | Fuel efficient vehicle (6.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100796,JSW Steel,"Pune, Maharashtra",16.3,WB-23-BB-5138,VEH-1008,Attached,523.81,Medium,59063,58539.19,"LP-KOL-02 -> Pune, Maharashtra",1500,2026-01-04 15:16,50.9,Attached vehicle - Good profit margin (avg 20%) | ⚠️ Under-utilized (50.9%) - consider smaller vehicle | ⚠️ Vehicle far from loading point (761 km) | Fuel efficient vehicle (6.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100831,Rashtriya Ispat Nigam,"Jaipur, Rajasthan",24.1,WB-23-BB-5138,VEH-1008,Attached,2271.04,Medium,57752,55480.96,"LP-RKL-04 -> Jaipur, Rajasthan",1500,2026-01-04 08:04,75.3,Attached vehicle - Good profit margin (avg 20%) | ⚠️ Vehicle far from loading point (401 km) | Fuel efficient vehicle (6.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100885,Tata Steel Ltd,"Surat, Gujarat",24.3,WB-23-BB-5138,VEH-1008,Attached,2408.86,Medium,33894,31485.14,"LP-VSP-06 -> Surat, Gujarat",1500,2026-01-04 09:07,75.9,Attached vehicle - Good profit margin (avg 20%) | ⚠️ Vehicle far from loading point (453 km) | Fuel efficient vehicle (6.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100921,Rashtriya Ispat Nigam,"Bengaluru, Karnataka",15.5,WB-23-BB-5138,VEH-1008,Attached,840.64,Medium,46348,45507.36,"LP-DUR-03 -> Bengaluru, Karnataka",1500,2026-01-04 13:44,48.4,Attached vehicle - Good profit margin (avg 20%) | ⚠️ Under-utilized (48.4%) - consider smaller vehicle | ⚠️ Vehicle far from loading point (684 km) | Fuel efficient vehicle (6.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100976,JSW Steel,"Lucknow, Uttar Pradesh",25.0,WB-23-BB-5138,VEH-1008,Attached,3181.92,Medium,69776,66594.08,"LP-BHI-05 -> Lucknow, Uttar Pradesh",1500,2026-01-04 00:03,78.1,Attached vehicle - Good profit margin (avg 20%) | Vehicle nearby loading point (0 km) | Fuel efficient vehicle (6.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100115,AM/NS India,"Coimbatore, Tamil Nadu",11.8,WB-35-BB-1759,VEH-1009,Market,-352.26,Low,76323,76675.26,"LP-BHI-05 -> Coimbatore, Tamil Nadu",1500,2026-01-05 00:29,73.8,⚠️ Vehicle far from loading point (1222 km) | Reliable driver (score: 85/100)
DO-2026-01-100245,NMDC Ltd,"Pune, Maharashtra",11.8,UP-62-CB-5888,VEH-1010,Owned,515.11,Medium,50957,50441.89,"LP-KOL-02 -> Pune, Maharashtra",1500,2026-01-04 17:48,73.8,Owned vehicle - Higher profit margin (avg 28% vs market 12%) | ⚠️ Vehicle far from loading point (887 km) | Fuel efficient vehicle (5.8 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100896,Lloyds Metals,"Bengaluru, Karnataka",11.2,WB-75-CB-9837,VEH-1011,Attached,-976.67,Medium,55450,56426.67,"LP-DUR-03 -> Bengaluru, Karnataka",1500,2026-01-05 06:17,70.0,Attached vehicle - Good profit margin (avg 20%) | ⚠️ Vehicle far from loading point (1511 km) | Fuel efficient vehicle (8.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100000,Tata Steel Ltd,"Mumbai, Maharashtra",14.3,GJ-48-CA-6345,VEH-1013,Owned,901.44,Medium,38717,37815.56,"LP-JAM-01 -> Mumbai, Maharashtra",2748,2026-01-05 01:01,44.7,Owned vehicle - Higher profit margin (avg 28% vs market 12%) | ⚠️ Under-utilized (44.7%) - consider smaller vehicle | Vehicle nearby loading point (0 km) | Fuel efficient vehicle (6.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100145,AM/NS India,"Mumbai, Maharashtra",31.9,GJ-48-CA-6345,VEH-1013,Owned,602.48,High,34772,34169.52,"LP-JAM-01 -> Mumbai, Maharashtra",2748,2026-01-05 01:01,99.7,Owned vehicle - Higher profit margin (avg 28% vs market 12%) | Optimal capacity utilization (99.7%) | Vehicle nearby loading point (0 km) | Fuel efficient vehicle (6.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100306,Rashtriya Ispat Nigam,"Coimbatore, Tamil Nadu",17.2,GJ-48-CA-6345,VEH-1013,Owned,977.08,Medium,54991,54013.92,"LP-BHI-05 -> Coimbatore, Tamil Nadu",1500,2026-01-04 11:04,53.8,Owned vehicle - Higher profit margin (avg 28% vs market 12%) | ⚠️ Under-utilized (53.8%) - consider smaller vehicle | ⚠️ Vehicle far from loading point (551 km) | Fuel efficient vehicle (6.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100380,NMDC Ltd,"Surat, Gujarat",21.6,GJ-48-CA-6345,VEH-1013,Owned,2547.26,Medium,65870,63322.74,"LP-VSP-06 -> Surat, Gujarat",1500,2026-01-04 13:02,67.5,Owned vehicle - Higher profit margin (avg 28% vs market 12%) | ⚠️ Under-utilized (67.5%) - consider smaller vehicle | ⚠️ Vehicle far from loading point (649 km) | Fuel efficient vehicle (6.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100541,JSW Steel,"Ahmedabad, Gujarat",24.6,GJ-48-CA-6345,VEH-1013,Owned,4059.51,Medium,77477,73417.49,"LP-RKL-04 -> Ahmedabad, Gujarat",1500,2026-01-04 03:05,76.9,Owned vehicle - Higher profit margin (avg 28% vs market 12%) | Fuel efficient vehicle (6.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100595,AM/NS India,"Coimbatore, Tamil Nadu",28.1,GJ-48-CA-6345,VEH-1013,Owned,1964.15,High,41512,39547.85,"LP-BHI-05 -> Coimbatore, Tamil Nadu",1500,2026-01-04 11:04,87.8,Owned vehicle - Higher profit margin (avg 28% vs market 12%) | Optimal capacity utilization (87.8%) | ⚠️ Vehicle far from loading point (551 km) | Fuel efficient vehicle (6.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100631,JSW Steel,"Chennai, Tamil Nadu",24.8,GJ-48-CA-6345,VEH-1013,Owned,3974.86,Medium,40697,36722.14,"LP-KOL-02 -> Chennai, Tamil Nadu",1500,2026-01-04 04:31,77.5,Owned vehicle - Higher profit margin (avg 28% vs market 12%) | ⚠️ Vehicle far from loading point (223 km) | Fuel efficient vehicle (6.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100720,Tata Steel Ltd,"Mumbai, Maharashtra",27.6,GJ-48-CA-6345,VEH-1013,Owned,2559.54,High,59533,56973.46,"LP-JAM-01 -> Mumbai, Maharashtra",2748,2026-01-05 01:01,86.2,Owned vehicle - Higher profit margin (avg 28% vs market 12%) | Optimal capacity utilization (86.2%) | Vehicle nearby loading point (0 km) | Fuel efficient vehicle (6.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100776,Lloyds Metals,"Bengaluru, Karnataka",29.0,GJ-48-CA-6345,VEH-1013,Owned,962.12,High,64005,63042.88,"LP-DUR-03 -> Bengaluru, Karnataka",1500,2026-01-04 02:49,90.6,Owned vehicle - Higher profit margin (avg 28% vs market 12%) | Optimal capacity utilization (90.6%) | Fuel efficient vehicle (6.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100830,NMDC Ltd,"Jaipur, Rajasthan",19.9,GJ-48-CA-6345,VEH-1013,Owned,1959.7,Medium,70375,68415.3,"LP-RKL-04 -> Jaipur, Rajasthan",1500,2026-01-04 03:05,62.2,Owned vehicle - Higher profit margin (avg 28% vs market 12%) | ⚠️ Under-utilized (62.2%) - consider smaller vehicle | Fuel efficient vehicle (6.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100955,AM/NS India,"Coimbatore, Tamil Nadu",14.2,GJ-48-CA-6345,VEH-1013,Owned,560.74,Medium,40944,40383.26,"LP-BHI-05 -> Coimbatore, Tamil Nadu",1500,2026-01-04 11:04,44.4,Owned vehicle - Higher profit margin (avg 28% vs market 12%) | ⚠️ Under-utilized (44.4%) - consider smaller vehicle | ⚠️ Vehicle far from loading point (551 km) | Fuel efficient vehicle (6.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100480,Tata Steel Ltd,"Mumbai, Maharashtra",15.5,UP-11-CA-1542,VEH-1017,Attached,-874.04,Medium,64910,65784.04,"LP-JAM-01 -> Mumbai, Maharashtra",2748,2026-01-05 12:02,62.0,Attached vehicle - Good profit margin (avg 20%) | ⚠️ Under-utilized (62.0%) - consider smaller vehicle | ⚠️ Vehicle far from loading point (551 km) | Fuel efficient vehicle (8.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100241,JSW Steel,"Mumbai, Maharashtra",20.5,UP-94-BA-4521,VEH-1021,Market,2302.22,Medium,46594,44291.78,"LP-JAM-01 -> Mumbai, Maharashtra",2748,2026-01-05 01:01,97.6,Optimal capacity utilization (97.6%) | Vehicle nearby loading point (0 km) | Reliable driver (score: 85/100)
DO-2026-01-100470,NMDC Ltd,"Jaipur, Rajasthan",12.6,RJ-55-AB-7961,VEH-1025,Owned,-565.94,Medium,65590,66155.94,"LP-RKL-04 -> Jaipur, Rajasthan",1500,2026-01-05 01:00,66.3,Owned vehicle - Higher profit margin (avg 28% vs market 12%) | ⚠️ Under-utilized (66.3%) - consider smaller vehicle | ⚠️ Vehicle far from loading point (1248 km) | Fuel efficient vehicle (6.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100066,Rashtriya Ispat Nigam,"Coimbatore, Tamil Nadu",9.2,TN-61-BB-9666,VEH-1029,Attached,-1940.75,Medium,76843,78783.75,"LP-BHI-05 -> Coimbatore, Tamil Nadu",1500,2026-01-04 18:19,43.8,Attached vehicle - Good profit margin (avg 20%) | ⚠️ Under-utilized (43.8%) - consider smaller vehicle | ⚠️ Vehicle far from loading point (913 km) | Fuel efficient vehicle (8.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100606,Rashtriya Ispat Nigam,"Chennai, Tamil Nadu",11.8,KA-67-CA-4068,VEH-1035,Attached,1041.74,Medium,67809,66767.26,"LP-KOL-02 -> Chennai, Tamil Nadu",1500,2026-01-05 03:13,62.1,Attached vehicle - Good profit margin (avg 20%) | ⚠️ Under-utilized (62.1%) - consider smaller vehicle | ⚠️ Vehicle far from loading point (1358 km) | Fuel efficient vehicle (8.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100005,NMDC Ltd,"Pune, Maharashtra",10.4,HR-29-AB-7593,VEH-1038,Attached,-655.78,Medium,38619,39274.78,"LP-KOL-02 -> Pune, Maharashtra",1500,2026-01-04 04:31,65.0,Attached vehicle - Good profit margin (avg 20%) | ⚠️ Under-utilized (65.0%) - consider smaller vehicle | ⚠️ Vehicle far from loading point (223 km) | Fuel efficient vehicle (6.0 KMPL) | Reliable driver (score: 85/100)
DO-2026-01-100206,Lloyds Metals,"Jaipur, Rajasthan",17.8,GJ-48-AA-8641,VEH-1039,Market,-719.09,Low,58427,59146.09,"LP-RKL-04 -> Jaipur, Rajasthan",1500,2026-01-04 08:04,84.8,⚠️ Vehicle far from loading point (401 km) | Reliable driver (score: 85/100)
DO-2026-01-100406,JSW Steel,"Indore, Madhya Pradesh",16.3,MH-14-BA-2158,VEH-1040,Owned,116.63,High,54457,54340.37,"LP-VSP-06 -> Indore, Madhya Pradesh",604,2026-01-03 18:10,90.6,Owned vehicle - Higher profit margin (avg 28% vs market 12%) | Optimal capacity utilization (90.6%) | ⚠️ Vehicle far from loading point (602 km) | Fuel efficient vehicle (5.8 KMPL) | Reliable driver (score: 85/100) | Good backhaul chance (67%)
DO-2026-01-100551,Lloyds Metals,"Indore, Madhya Pradesh",9.2,MH-14-BA-2158,VEH-1040,Owned,3563.13,High,77269,73705.87,"LP-VSP-06 -> Indore, Madhya Pradesh",604,2026-01-03 18:10,51.1,Owned vehicle - Higher profit margin (avg 28% vs market 12%) | ⚠️ Under-utilized (51.1%) - consider smaller vehicle | ⚠️ Vehicle far from loading point (602 km) | Fuel efficient vehicle (5.8 KMPL) | Reliable driver (score: 85/100) | Good backhaul chance (67%)
DO-2026-01-100001,JSW Steel,"Mumbai, Maharashtra",10.9,HIRE MARKET TRUCK,MARKET,Market,8253.72,Medium,68781,60527.28,"LP-JAM-01 -> Mumbai, Maharashtra",N/A,TBD,N/A,No suitable owned/attached vehicle available. Market hire recommended.
DO-2026-01-100002,SAIL Bokaro,Delhi NCR,14.8,HIRE MARKET TRUCK,MARKET,Market,7163.52,Medium,59696,52532.48,LP-JAM-01 -> Delhi NCR,N/A,TBD,N/A,No suitable owned/attached vehicle available. Market hire recommended.
DO-2026-01-100003,Hindalco Industries,Delhi NCR,58.5,HIRE MARKET TRUCK,MARKET,Market,6544.92,Medium,54541,47996.08,LP-JAM-01 -> Delhi NCR,N/A,TBD,N/A,No suitable owned/attached vehicle available. Market hire recommended.
DO-2026-01-100004,Vedanta Resources,"Pune, Maharashtra",12.6,HIRE MARKET TRUCK,MARKET,Market,8783.76,Medium,73198,64414.24,"LP-KOL-02 -> Pune, Maharashtra",N/A,TBD,N/A,No suitable owned/attached vehicle available. Market hire recommended.
DO-2026-01-100006,Rashtriya Ispat Nigam,"Chennai, Tamil Nadu",13.0,HIRE MARKET TRUCK,MARKET,Market,4401.48,Medium,36679,32277.52,"LP-KOL-02 -> Chennai, Tamil Nadu",N/A,TBD,N/A,No suitable owned/attached vehicle available. Market hire recommended.
DO-2026-01-100007,Essar Steel,"Chennai, Tamil Nadu",75.2,HIRE MARKET TRUCK,MARKET,Market,6390.24,Medium,53252,46861.76,"LP-KOL-02 -> Chennai, Tamil Nadu",N/A,TBD,N/A,No suitable owned/attached vehicle available. Market hire recommended.
DO-2026-01-100008,Jindal Steel,"Bengaluru, Karnataka",29.1,HIRE MARKET TRUCK,MARKET,Market,6314.64,Medium,52622,46307.36,"LP-DUR-03 -> Bengaluru, Karnataka",N/A,TBD,N/A,No suitable owned/attached vehicle available. Market hire recommended.
DO-2026-01-100009,Bhushan Steel,"Bengaluru, Karnataka",119.4,HIRE MARKET TRUCK,MARKET,Market,5779.44,Medium,48162,42382.56,"LP-DUR-03 -> Bengaluru, Karnataka",N/A,TBD,N/A,No suitable owned/attached vehicle available. Market hire recommended.
DO-2026-01-100010,AM/NS India,"Hyderabad, Telangana",66.8,HIRE MARKET TRUCK,MARKET,Market,7721.16,Medium,64343,56621.84,"LP-DUR-03 -> Hyderabad, Telangana",N/A,TBD,N/A,No suitable owned/attached vehicle available. Market hire recommended.
DO-2026-01-100011,Lloyds Metals,"Hyderabad, Telangana",114.8,HIRE MARKET TRUCK,MARKET,Market,6841.08,Medium,57009,50167.92,"LP-DUR-03 -> Hyderabad, Telangana",N/A,TBD,N/A,No suitable owned/attached vehicle available. Market hire recommended.
DO-2026-01-100012,APL Apollo,"Ahmedabad, Gujarat",102.4,HIRE MARKET TRUCK,MARKET,Market,4717.2,Medium,39310,34592.8,"LP-RKL-04 -> Ahmedabad, Gujarat",N/A,TBD,N/A,No suitable owned/attached vehicle available. Market hire recommended.
DO-2026-01-100013,Shyam Steel,"Ahmedabad, Gujarat",68.2,HIRE MARKET TRUCK,MARKET,Market,4676.76,Medium,38973,34296.24,"LP-RKL-04 -> Ahmedabad, Gujarat",N/A,TBD,N/A,No suitable owned/attached vehicle available. Market hire recommended.
DO-2026-01-100014,SRMB Steel,"Jaipur, Rajasthan",20.1,HIRE MARKET TRUCK,MARKET,Market,8010.84,Medium,66757,58746.16,"LP-RKL-04 -> Jaipur, Rajasthan",N/A,TBD,N/A,No suitable owned/attached vehicle available. Market hire recommended.
DO-2026-01-100015,Tata Steel Ltd,"Jaipur, Rajasthan",3.5,HIRE MARKET TRUCK,MARKET,Market,5734.2,Medium,47785,42050.8,"LP-RKL-04 -> Jaipur, Rajasthan",N/A,TBD,N/A,No suitable owned/attached vehicle available. Market hire recommended.
DO-2026-01-100016,JSW Steel,"Lucknow, Uttar Pradesh",18.2,HIRE MARKET TRUCK,MARKET,Market,7577.76,Medium,63148,55570.24,"LP-BHI-05 -> Lucknow, Uttar Pradesh",N/A,TBD,N/A,No suitable owned/attached vehicle available. Market hire recommended.
DO-2026-01-100017,SAIL Bokaro,"Lucknow, Uttar Pradesh",34.7,HIRE MARKET TRUCK,MARKET,Market,8950.8,Medium,74590,65639.2,"LP-BHI-05 -> Lucknow, Uttar Pradesh",N/A,TBD,N/A,No suitable owned/attached vehicle available. Market hire recommended.
DO-2026-01-100018,Hindalco Industries,"Coimbatore, Tamil Nadu",7.5,HIRE MARKET TRUCK,MARKET,Market,8466.6,Medium,70555,62088.4,"LP-BHI-05 -> Coimbatore, Tamil Nadu",N/A,TBD,N/A,No suitable owned/attached vehicle available. Market hire recommended.
DO-2026-01-100019,Vedanta Resources,"Coimbatore, Tamil Nadu",10.8,HIRE MARKET TRUCK,MARKET,Market,6438.48,Medium,53654,47215.52,"LP-BHI-05 -> Coimbatore, Tamil Nadu",N/A,TBD,N/A,No suitable owned/attached vehicle available. Market hire recommended.
DO-2026-01-100020,NMDC Ltd,"Surat, Gujarat",59.0,HIRE MARKET TRUCK,MARKET,Market,7557.12,Medium,62976,55418.88,"LP-VSP-06 -> Surat, Gujarat",N/A,TBD,N/A,No suitable owned/attached vehicle available. Market hire recommended.
DO-2026-01-100021,Rashtriya Ispat Nigam,"Surat, Gujarat",8.0,HIRE MARKET TRUCK,MARKET,Market,7512.72,Medium,62606,55093.28,"LP-VSP-06 -> Surat, Gujarat",N/A,TBD,N/A,No suitable owned/attached vehicle available. Market hire recommended.
DO-2026-01-100022,Essar Steel,"Indore, Madhya Pradesh",7.4,HIRE MARKET TRUCK,MARKET,Market,5335.8,Medium,44465,39129.2,"LP-VSP-06 -> Indore, Madhya Pradesh",N/A,TBD,N/A,No suitable owned/attached vehicle available. Market hire recommended.
DO-2026-01-100023,Jindal Steel,"Indore, Madhya Pradesh",34.9,HIRE MARKET TRUCK,MARKET,Market,4237.8,Medium,35315,31077.2,"LP-VSP-06 -> Indore, Madhya Pradesh",N/A,TBD,N/A,No suitable owned/attached vehicle available. Market hire recommended.
DO-2026-01-100024,Bhushan Steel,"Mumbai, Maharashtra",17.4,HIRE MARKET TRUCK,MARKET,Market,5134.68,Medium,42789,37654.32,"LP-JAM-01 -> Mumbai, Maharashtra",N/A,TBD,N/A,No suitable owned/attached vehicle available. Market hire recommended.
DO-2026-01-100025,AM/NS India,"Mumbai, Maharashtra",56.4,HIRE MARKET TRUCK,MARKET,Market,8210.64,Medium,68422,60211.36,"LP-JAM-01 -> Mumbai, Maharashtra",N/A,TBD,N/A,No suitable owned/attached vehicle available. Market hire recommended.
